order_id,customer,product,category,pieces,order_date,due_date,status,current_stage,last_activity_date,completed_date,days_late
ORD-065,Loom & Leaf,Crewneck sweater,TOPS,100,2026-01-16,2026-02-12,COMPLETE,COMPLETE,2026-02-01,2026-02-01,-11
ORD-070,Northwind Apparel,Beanie,ACCESSORIES,1200,2026-01-16,2026-02-09,COMPLETE,COMPLETE,2026-02-09,2026-02-09,0
ORD-098,Cotton Club,Hoodie,TOPS,400,2026-01-16,2026-02-15,COMPLETE,COMPLETE,2026-02-06,2026-02-06,-9
ORD-021,TrendCart,Vest,TOPS,800,2026-01-17,2026-02-18,COMPLETE,COMPLETE,2026-02-13,2026-02-13,-5
ORD-056,UrbanThread,Scarf,ACCESSORIES,500,2026-01-17,2026-02-16,COMPLETE,COMPLETE,2026-02-03,2026-02-03,-13
ORD-102,Loom & Leaf,Beanie,ACCESSORIES,600,2026-01-19,2026-02-12,COMPLETE,COMPLETE,2026-02-12,2026-02-12,0
ORD-006,Northwind Apparel,Vest,TOPS,150,2026-01-20,2026-02-20,COMPLETE,COMPLETE,2026-02-04,2026-02-04,-16
ORD-064,Loom & Leaf,Beanie,ACCESSORIES,400,2026-01-20,2026-02-21,COMPLETE,COMPLETE,2026-02-09,2026-02-09,-12
ORD-116,Cotton Club,Cardigan,TOPS,600,2026-01-21,2026-02-20,COMPLETE,COMPLETE,2026-02-11,2026-02-11,-9
ORD-059,TrendCart,Scarf,ACCESSORIES,100,2026-01-22,2026-02-24,COMPLETE,COMPLETE,2026-02-15,2026-02-15,-9
ORD-090,TrendCart,Polo shirt,TOPS,600,2026-01-22,2026-02-23,COMPLETE,COMPLETE,2026-03-06,2026-03-06,11
ORD-018,Maple & Co,Beanie,ACCESSORIES,1200,2026-01-23,2026-02-18,COMPLETE,COMPLETE,2026-02-27,2026-02-27,9
ORD-078,Bright Basics,Beanie,ACCESSORIES,300,2026-01-23,2026-02-14,COMPLETE,COMPLETE,2026-02-11,2026-02-11,-3
ORD-086,Bright Basics,Hoodie,TOPS,300,2026-01-23,2026-02-11,COMPLETE,COMPLETE,2026-02-09,2026-02-09,-2
ORD-022,Maple & Co,Hoodie,TOPS,800,2026-01-25,2026-02-21,COMPLETE,COMPLETE,2026-02-24,2026-02-24,3
ORD-051,Maple & Co,Hoodie,TOPS,200,2026-01-25,2026-02-19,COMPLETE,COMPLETE,2026-02-09,2026-02-09,-10
ORD-003,Maple & Co,Beanie,ACCESSORIES,1200,2026-01-27,2026-02-17,COMPLETE,COMPLETE,2026-02-27,2026-02-27,10
ORD-014,TrendCart,Vest,TOPS,2000,2026-01-27,2026-02-28,COMPLETE,COMPLETE,2026-03-23,2026-03-23,23
ORD-118,UrbanThread,Cardigan,TOPS,100,2026-01-29,2026-03-02,COMPLETE,COMPLETE,2026-02-10,2026-02-10,-20
ORD-067,Harbor Knits,Hoodie,TOPS,400,2026-01-30,2026-03-04,COMPLETE,COMPLETE,2026-02-15,2026-02-15,-17
ORD-071,Loom & Leaf,Scarf,ACCESSORIES,1200,2026-01-30,2026-03-04,COMPLETE,COMPLETE,2026-02-25,2026-02-25,-7
ORD-004,Bright Basics,Cardigan,TOPS,500,2026-01-31,2026-03-07,COMPLETE,COMPLETE,2026-02-27,2026-02-27,-8
ORD-058,Maple & Co,Crewneck sweater,TOPS,2000,2026-02-02,2026-02-20,COMPLETE,COMPLETE,2026-03-12,2026-03-12,20
ORD-072,Maple & Co,Cardigan,TOPS,600,2026-02-02,2026-02-27,COMPLETE,COMPLETE,2026-02-18,2026-02-18,-9
ORD-043,UrbanThread,Scarf,ACCESSORIES,500,2026-02-03,2026-02-23,COMPLETE,COMPLETE,2026-02-21,2026-02-21,-2
ORD-047,Cotton Club,Vest,TOPS,150,2026-02-03,2026-02-23,COMPLETE,COMPLETE,2026-02-22,2026-02-22,-1
ORD-042,Maple & Co,Scarf,ACCESSORIES,400,2026-02-04,2026-03-05,COMPLETE,COMPLETE,2026-02-25,2026-02-25,-8
ORD-085,Harbor Knits,Vest,TOPS,1500,2026-02-07,2026-03-01,COMPLETE,COMPLETE,2026-03-05,2026-03-05,4
ORD-119,Maple & Co,Scarf,ACCESSORIES,150,2026-02-08,2026-02-22,COMPLETE,COMPLETE,2026-02-27,2026-02-27,5
ORD-023,Maple & Co,Hoodie,TOPS,600,2026-02-09,2026-02-23,COMPLETE,COMPLETE,2026-03-03,2026-03-03,8
ORD-111,Cotton Club,Crewneck sweater,TOPS,2000,2026-02-09,2026-03-16,COMPLETE,COMPLETE,2026-03-22,2026-03-22,6
ORD-097,Bright Basics,Cardigan,TOPS,800,2026-02-10,2026-03-01,COMPLETE,COMPLETE,2026-03-09,2026-03-09,8
ORD-016,Cotton Club,Hoodie,TOPS,800,2026-02-11,2026-03-16,COMPLETE,COMPLETE,2026-03-08,2026-03-08,-8
ORD-074,Loom & Leaf,Scarf,ACCESSORIES,300,2026-02-12,2026-03-12,COMPLETE,COMPLETE,2026-03-10,2026-03-10,-2
ORD-011,Maple & Co,Hoodie,TOPS,1200,2026-02-13,2026-03-14,COMPLETE,COMPLETE,2026-03-12,2026-03-12,-2
ORD-032,Northwind Apparel,Beanie,ACCESSORIES,1500,2026-02-13,2026-03-14,COMPLETE,COMPLETE,2026-03-17,2026-03-17,3
ORD-050,Northwind Apparel,Vest,TOPS,500,2026-02-13,2026-03-05,COMPLETE,COMPLETE,2026-02-28,2026-02-28,-5
ORD-068,Cotton Club,Cardigan,TOPS,600,2026-02-13,2026-03-10,COMPLETE,COMPLETE,2026-03-04,2026-03-04,-6
ORD-012,Cotton Club,Vest,TOPS,1200,2026-02-14,2026-03-09,COMPLETE,COMPLETE,2026-03-08,2026-03-08,-1
ORD-013,Northwind Apparel,Polo shirt,TOPS,1000,2026-02-16,2026-03-03,COMPLETE,COMPLETE,2026-03-17,2026-03-17,14
ORD-034,Harbor Knits,Cardigan,TOPS,1000,2026-02-17,2026-03-12,COMPLETE,COMPLETE,2026-03-19,2026-03-19,7
ORD-048,Northwind Apparel,Hoodie,TOPS,200,2026-02-20,2026-03-25,COMPLETE,COMPLETE,2026-03-13,2026-03-13,-12
ORD-054,TrendCart,Vest,TOPS,600,2026-02-20,2026-03-06,COMPLETE,COMPLETE,2026-03-29,2026-03-29,23
ORD-037,Cotton Club,Vest,TOPS,200,2026-02-23,2026-03-18,COMPLETE,COMPLETE,2026-03-20,2026-03-20,2
ORD-079,Northwind Apparel,Crewneck sweater,TOPS,300,2026-02-24,2026-03-30,COMPLETE,COMPLETE,2026-03-23,2026-03-23,-7
ORD-092,Maple & Co,Beanie,ACCESSORIES,500,2026-02-24,2026-03-15,COMPLETE,COMPLETE,2026-03-19,2026-03-19,4
ORD-104,UrbanThread,Vest,TOPS,200,2026-02-24,2026-03-28,COMPLETE,COMPLETE,2026-03-11,2026-03-11,-17
ORD-046,UrbanThread,Hoodie,TOPS,150,2026-02-25,2026-03-31,COMPLETE,COMPLETE,2026-03-09,2026-03-09,-22
ORD-075,UrbanThread,Crewneck sweater,TOPS,400,2026-02-25,2026-03-28,COMPLETE,COMPLETE,2026-03-11,2026-03-11,-17
ORD-120,TrendCart,Vest,TOPS,1500,2026-02-27,2026-03-17,IN_PROGRESS,ASSEMBLY,2026-03-30,,
ORD-027,Loom & Leaf,Hoodie,TOPS,600,2026-02-28,2026-03-19,COMPLETE,COMPLETE,2026-03-16,2026-03-16,-3
ORD-030,TrendCart,Cardigan,TOPS,400,2026-02-28,2026-03-27,COMPLETE,COMPLETE,2026-03-28,2026-03-28,1
ORD-031,Maple & Co,Crewneck sweater,TOPS,300,2026-02-28,2026-03-31,COMPLETE,COMPLETE,2026-03-26,2026-03-26,-5
ORD-033,Bright Basics,Polo shirt,TOPS,200,2026-03-01,2026-03-18,COMPLETE,COMPLETE,2026-03-15,2026-03-15,-3
ORD-107,Northwind Apparel,Cardigan,TOPS,2000,2026-03-01,2026-03-16,IN_PROGRESS,PACKING,2026-04-01,,
ORD-113,Bright Basics,Scarf,ACCESSORIES,800,2026-03-01,2026-03-22,COMPLETE,COMPLETE,2026-03-26,2026-03-26,4
ORD-019,Northwind Apparel,Vest,TOPS,600,2026-03-02,2026-03-29,COMPLETE,COMPLETE,2026-03-29,2026-03-29,0
ORD-088,Harbor Knits,Crewneck sweater,TOPS,300,2026-03-02,2026-03-21,COMPLETE,COMPLETE,2026-03-18,2026-03-18,-3
ORD-114,Northwind Apparel,Hoodie,TOPS,2000,2026-03-03,2026-03-23,IN_PROGRESS,PACKING,2026-03-30,,
ORD-002,Cotton Club,Crewneck sweater,TOPS,1000,2026-03-06,2026-03-29,IN_PROGRESS,WASHING,2026-03-23,,
ORD-044,Cotton Club,Cardigan,TOPS,500,2026-03-07,2026-04-06,COMPLETE,COMPLETE,2026-03-26,2026-03-26,-11
ORD-083,Maple & Co,Hoodie,TOPS,1000,2026-03-07,2026-03-23,IN_PROGRESS,WASHING,2026-03-30,,
ORD-099,Northwind Apparel,Polo shirt,TOPS,1500,2026-03-07,2026-04-05,IN_PROGRESS,WASHING,2026-03-31,,
ORD-020,TrendCart,Vest,TOPS,1200,2026-03-08,2026-03-31,IN_PROGRESS,WASHING,2026-03-30,,
ORD-103,Bright Basics,Scarf,ACCESSORIES,2000,2026-03-09,2026-04-04,IN_PROGRESS,ASSEMBLY,2026-03-30,,
ORD-029,Northwind Apparel,Beanie,ACCESSORIES,1500,2026-03-10,2026-04-01,IN_PROGRESS,WASHING,2026-04-01,,
ORD-109,Harbor Knits,Vest,TOPS,500,2026-03-10,2026-04-13,IN_PROGRESS,WASHING,2026-03-30,,
ORD-069,Harbor Knits,Cardigan,TOPS,400,2026-03-11,2026-04-09,COMPLETE,COMPLETE,2026-03-30,2026-03-30,-10
ORD-112,Harbor Knits,Hoodie,TOPS,300,2026-03-11,2026-03-28,COMPLETE,COMPLETE,2026-03-24,2026-03-24,-4
ORD-060,Maple & Co,Hoodie,TOPS,300,2026-03-12,2026-04-01,COMPLETE,COMPLETE,2026-03-27,2026-03-27,-5
ORD-061,Harbor Knits,Scarf,ACCESSORIES,800,2026-03-12,2026-04-05,IN_PROGRESS,WASHING,2026-03-30,,
ORD-084,Maple & Co,Cardigan,TOPS,500,2026-03-13,2026-04-01,COMPLETE,COMPLETE,2026-03-28,2026-03-28,-4
ORD-093,Maple & Co,Beanie,ACCESSORIES,100,2026-03-14,2026-03-29,IN_PROGRESS,WASHING,2026-04-01,,
ORD-055,Cotton Club,Crewneck sweater,TOPS,800,2026-03-15,2026-03-31,IN_PROGRESS,ASSEMBLY,2026-04-01,,
ORD-108,Harbor Knits,Scarf,ACCESSORIES,2000,2026-03-17,2026-04-03,IN_PROGRESS,ASSEMBLY,2026-03-31,,
ORD-081,Harbor Knits,Crewneck sweater,TOPS,1500,2026-03-18,2026-04-13,IN_PROGRESS,ASSEMBLY,2026-03-30,,
ORD-041,Harbor Knits,Beanie,ACCESSORIES,600,2026-03-19,2026-04-21,IN_PROGRESS,WASHING,2026-04-01,,
ORD-096,TrendCart,Beanie,ACCESSORIES,1000,2026-03-19,2026-04-17,IN_PROGRESS,KNITTING,2026-04-01,,
ORD-005,TrendCart,Scarf,ACCESSORIES,500,2026-03-21,2026-04-20,IN_PROGRESS,KNITTING,2026-03-24,,
ORD-045,Cotton Club,Vest,TOPS,150,2026-03-21,2026-04-09,IN_PROGRESS,WASHING,2026-03-30,,
ORD-053,UrbanThread,Polo shirt,TOPS,800,2026-03-21,2026-04-10,IN_PROGRESS,ASSEMBLY,2026-03-31,,
ORD-073,Loom & Leaf,Hoodie,TOPS,400,2026-03-21,2026-04-20,IN_PROGRESS,ASSEMBLY,2026-03-31,,
ORD-036,UrbanThread,Scarf,ACCESSORIES,1000,2026-03-22,2026-04-26,IN_PROGRESS,KNITTING,2026-03-31,,
ORD-062,Bright Basics,Scarf,ACCESSORIES,2000,2026-03-22,2026-04-08,IN_PROGRESS,KNITTING,2026-03-31,,
ORD-066,Northwind Apparel,Polo shirt,TOPS,1000,2026-03-22,2026-04-26,IN_PROGRESS,ASSEMBLY,2026-03-30,,
ORD-008,Loom & Leaf,Polo shirt,TOPS,600,2026-03-23,2026-04-09,IN_PROGRESS,KNITTING,2026-03-31,,
ORD-015,UrbanThread,Vest,TOPS,300,2026-03-23,2026-04-16,IN_PROGRESS,ASSEMBLY,2026-03-30,,
ORD-017,TrendCart,Cardigan,TOPS,800,2026-03-23,2026-04-10,IN_PROGRESS,KNITTING,2026-04-01,,
ORD-010,Cotton Club,Cardigan,TOPS,1000,2026-03-24,2026-04-25,IN_PROGRESS,KNITTING,2026-03-30,,
ORD-024,Loom & Leaf,Vest,TOPS,300,2026-03-24,2026-04-15,IN_PROGRESS,ASSEMBLY,2026-04-01,,
ORD-035,Loom & Leaf,Beanie,ACCESSORIES,300,2026-03-25,2026-04-29,IN_PROGRESS,KNITTING,2026-04-01,,
ORD-040,Loom & Leaf,Hoodie,TOPS,1200,2026-03-25,2026-04-21,IN_PROGRESS,KNITTING,2026-04-01,,
ORD-063,Loom & Leaf,Cardigan,TOPS,100,2026-03-27,2026-04-29,IN_PROGRESS,KNITTING,2026-03-30,,
ORD-082,TrendCart,Beanie,ACCESSORIES,600,2026-03-27,2026-05-01,IN_PROGRESS,KNITTING,2026-03-30,,
ORD-095,Bright Basics,Hoodie,TOPS,800,2026-03-27,2026-04-26,IN_PROGRESS,KNITTING,2026-04-01,,
